id	trial	amount_of_allocation	cost_level	amount_of_cost	group	AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
157	1	11	low	3	gpt-3.5-turbo-0125	-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
157	2	15	low	1	gpt-3.5-turbo-0125	-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
157	3	12	low	0	gpt-3.5-turbo-0125	-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
157	4	11	low	4	gpt-3.5-turbo-0125	-50	20	1	-70	40	-20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
157	5	14	low	1	gpt-3.5-turbo-0125	-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
157	6	15	low	3	gpt-3.5-turbo-0125	-20	10	0	-15	5	5.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -15, AC_arousal = 5
157	7	14	low	0	gpt-3.5-turbo-0125	-50	30	1	-20	40	30.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 40
157	8	12	low	1	gpt-3.5-turbo-0125	-40	30	1	-60	40	-20.0	10.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 40
157	9	11	low	1	gpt-3.5-turbo-0125	-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
157	10	13	low	0	gpt-3.5-turbo-0125	-70	30	1	-50	40	20.0	10.0	AA_valence = -70, AA_arousal = 30, choice = 1, AC_valence = -50, AC_arousal = 40
157	11	12	low	4	gpt-3.5-turbo-0125	-20	10	1	-30	20	-10.0	10.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -30, AC_arousal = 20
