AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
-25	30	1	20	10	45.0	-20.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 10
-40	35	1	15	20	55.0	-15.0	AA_valence = -40, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 20
-25	40	1	15	5	40.0	-35.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 5
-20	35	1	15	10	35.0	-25.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 10
-20	35	1	25	10	45.0	-25.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 25, AC_arousal = 10
-25	30	1	15	10	40.0	-20.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
-25	40	1	15	20	40.0	-20.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 20
-35	45	1	10	20	45.0	-25.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 10, AC_arousal = 20
30	20	0	35	15	5.0	-5.0	AA_valence = 30, AA_arousal = 20, choice = 0, AC_valence = 35, AC_arousal = 15
-25	40	1	10	15	35.0	-25.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 10, AC_arousal = 15
30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
-40	60	1	10	20	50.0	-40.0	AA_valence = -40, AA_arousal = 60, choice = 1, AC_valence = 10, AC_arousal = 20
-32	28	1	18	12	50.0	-16.0	AA_valence = -32, AA_arousal = 28, choice = 1, AC_valence = 18, AC_arousal = 12
-35	30	1	20	10	55.0	-20.0	AA_valence = -35, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 10
-35	40	1	15	20	50.0	-20.0	AA_valence = -35, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 20
-40	45	1	15	25	55.0	-20.0	AA_valence = -40, AA_arousal = 45, choice = 1, AC_valence = 15, AC_arousal = 25
-35	45	1	12	20	47.0	-25.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 12, AC_arousal = 20
-40	50	1	30	10	70.0	-40.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 30, AC_arousal = 10
35	10	0	45	5	10.0	-5.0	AA_valence = 35, AA_arousal = 10, choice = 0, AC_valence = 45, AC_arousal = 5
-40	50	1	15	10	55.0	-40.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 15, AC_arousal = 10
-18	30	1	10	12	28.0	-18.0	AA_valence = -18, AA_arousal = 30, choice = 1, AC_valence = 10, AC_arousal = 12
25	15	0	30	10	5.0	-5.0	AA_valence = 25, AA_arousal = 15, choice = 0, AC_valence = 30, AC_arousal = 10
20	15	0	30	5	10.0	-10.0	AA_valence = 20, AA_arousal = 15, choice = 0, AC_valence = 30, AC_arousal = 5
-30	35	1	20	5	50.0	-30.0	AA_valence = -30, AA_arousal = 35, choice = 1, AC_valence = 20, AC_arousal = 5
-20	30	1	20	10	40.0	-20.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 10
-30	40	1	12	8	42.0	-32.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 12, AC_arousal = 8
-40	50	1	10	15	50.0	-35.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 10, AC_arousal = 15
-40	50	1	15	10	55.0	-40.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 15, AC_arousal = 10
-15	25	1	10	10	25.0	-15.0	AA_valence = -15, AA_arousal = 25, choice = 1, AC_valence = 10, AC_arousal = 10
-30	40	1	15	20	45.0	-20.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 20
-35	50	1	20	15	55.0	-35.0	AA_valence = -35, AA_arousal = 50, choice = 1, AC_valence = 20, AC_arousal = 15
-40	30	1	20	10	60.0	-20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = 20, AC_arousal = 10
-30	40	1	10	15	40.0	-25.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 10, AC_arousal = 15
-40	60	1	25	10	65.0	-50.0	AA_valence = -40, AA_arousal = 60, choice = 1, AC_valence = 25, AC_arousal = 10
-35	25	1	15	10	50.0	-15.0	AA_valence = -35, AA_arousal = 25, choice = 1, AC_valence = 15, AC_arousal = 10
-18	22	1	12	15	30.0	-7.0	AA_valence = -18, AA_arousal = 22, choice = 1, AC_valence = 12, AC_arousal = 15
35	15	0	40	10	5.0	-5.0	AA_valence = 35, AA_arousal = 15, choice = 0, AC_valence = 40, AC_arousal = 10
-35	45	1	-5	15	30.0	-30.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = -5, AC_arousal = 15
-40	50	1	10	20	50.0	-30.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 10, AC_arousal = 20
30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
-45	35	1	-10	15	35.0	-20.0	AA_valence = -45, AA_arousal = 35, choice = 1, AC_valence = -10, AC_arousal = 15
-32	38	1	-8	12	24.0	-26.0	AA_valence = -32, AA_arousal = 38, choice = 1, AC_valence = -8, AC_arousal = 12
-35	45	1	20	10	55.0	-35.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 20, AC_arousal = 10
-35	45	1	20	15	55.0	-30.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 20, AC_arousal = 15
-40	50	1	20	15	60.0	-35.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 20, AC_arousal = 15
-30	50	1	10	20	40.0	-30.0	AA_valence = -30, AA_arousal = 50, choice = 1, AC_valence = 10, AC_arousal = 20
-30	45	1	10	5	40.0	-40.0	AA_valence = -30, AA_arousal = 45, choice = 1, AC_valence = 10, AC_arousal = 5
25	15	0	30	10	5.0	-5.0	AA_valence = 25, AA_arousal = 15, choice = 0, AC_valence = 30, AC_arousal = 10
-20	35	0	15	8	35.0	-27.0	AA_valence = -20, AA_arousal = 35, choice = 0, AC_valence = 15, AC_arousal = 8
-20	30	1	8	15	28.0	-15.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 8, AC_arousal = 15
-20	35	0	5	-15	25.0	-50.0	AA_valence = -20, AA_arousal = 35, choice = 0, AC_valence = 5, AC_arousal = -15
35	15	0	40	8	5.0	-7.0	AA_valence = 35, AA_arousal = 15, choice = 0, AC_valence = 40, AC_arousal = 8
-15	30	0	20	8	35.0	-22.0	AA_valence = -15, AA_arousal = 30, choice = 0, AC_valence = 20, AC_arousal = 8
-20	45	1	-5	20	15.0	-25.0	AA_valence = -20, AA_arousal = 45, choice = 1, AC_valence = -5, AC_arousal = 20
-35	45	1	5	10	40.0	-35.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 5, AC_arousal = 10
-15	30	0	10	5	25.0	-25.0	AA_valence = -15, AA_arousal = 30, choice = 0, AC_valence = 10, AC_arousal = 5
-35	45	1	15	10	50.0	-35.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 15, AC_arousal = 10
-40	50	1	-10	20	30.0	-30.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = -10, AC_arousal = 20
-30	40	1	15	10	45.0	-30.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 10
55	15	0	65	8	10.0	-7.0	AA_valence = 55, AA_arousal = 15, choice = 0, AC_valence = 65, AC_arousal = 8
