split,group,accuracy,auc
test,DeepSeek-R1,0.9355948869223205,0.969592377005547
test,DeepSeek-V3,0.9882005899705014,0.9990393137557703
test,GPT-3.5,0.8804490331039003,0.8444335990402746
test,Human,0.7673713536545395,0.8214648606686754
test,o3-mini,0.9142903965912815,0.9659651838835411
train,DeepSeek-R1,0.9393641429039659,0.9725826059616561
train,DeepSeek-V3,0.9890434049726086,0.9990815301868181
train,GPT-3.5,0.8801095659502739,0.8410878457478621
train,Human,0.770543615676359,0.8264406814751456
train,o3-mini,0.9193706981317601,0.9705798713829861
val,DeepSeek-R1,0.9359226483120289,0.9740656059475664
val,DeepSeek-V3,0.9880367092756474,0.9987994879120883
val,GPT-3.5,0.8770894788593904,0.835515848051628
val,Human,0.7604064241232383,0.8189868603422236
val,o3-mini,0.9126515896427401,0.9693587234785919
