split,group,accuracy,auc
test,DeepSeek-R1,0.9736152081284825,0.9870727937190935
test,DeepSeek-V3,0.9971320878400525,0.9986804220817387
test,GPT-3.5,0.9166666666666666,0.9156803006894297
test,o3-mini,0.9559160930842346,0.987646782744528
train,DeepSeek-R1,0.9753008381326965,0.9887001019573178
train,DeepSeek-V3,0.9972140281874795,0.998964839124597
train,GPT-3.5,0.9157887343728052,0.9109433007428288
train,o3-mini,0.9532471789108957,0.9875333334861054
val,DeepSeek-R1,0.9726319239593576,0.9842570017076221
val,DeepSeek-V3,0.9975417895771878,0.9991375513519042
val,GPT-3.5,0.9137987545067191,0.91459249632046
val,o3-mini,0.955096689609964,0.9878207382021792
