participant_id,group,cost_level,fairness_group,n_trials,choice_mean,AA_valence_mean,AA_arousal_mean,AC_valence_mean,AC_arousal_mean,EmoFDBK_valence_mean,EmoFDBK_arousal_mean
157,human,high,fair,5,0.0,11.8,9.0,51.4,48.8,39.6,39.8
157,human,high,unfair,25,0.16,-6.88,8.12,12.6,22.8,19.48,14.68
157,human,low,fair,5,0.0,12.8,8.4,-3.2,24.2,-16.0,15.8
157,human,low,unfair,25,0.84,-6.6,9.64,16.12,7.52,22.72,-2.12
1753,human,high,fair,5,0.0,22.8,5.6,12.4,37.2,-10.4,31.6
1753,human,high,unfair,25,0.2,-10.72,-4.88,15.4,29.04,26.12,33.92
1753,human,low,fair,5,0.2,26.4,0.4,-4.6,22.0,-31.0,21.6
1753,human,low,unfair,25,0.52,-6.8,1.44,19.8,16.16,26.6,14.72
2299,human,high,fair,5,0.0,4.2,4.6,20.2,51.0,16.0,46.4
2299,human,high,unfair,25,0.44,2.48,1.44,17.16,42.24,14.68,40.8
2299,human,low,fair,5,0.8,-7.8,7.0,24.2,-2.0,32.0,-9.0
2299,human,low,unfair,25,1.0,-9.6,7.32,26.72,34.8,36.32,27.48
4892,human,high,fair,5,0.0,26.0,21.8,10.8,-5.6,-15.2,-27.4
4892,human,high,unfair,25,0.24,-7.48,14.4,18.8,11.28,26.28,-3.12
4892,human,low,fair,5,0.0,24.6,20.6,17.0,5.0,-7.6,-15.6
4892,human,low,unfair,25,0.68,-12.28,16.68,19.32,1.56,31.6,-15.12
4903,human,high,fair,5,0.0,9.0,-3.4,16.8,16.8,7.8,20.2
4903,human,high,unfair,25,0.0,-12.88,-1.4,19.88,20.2,32.76,21.6
4903,human,low,fair,5,0.0,10.8,-1.6,15.6,36.8,4.8,38.4
4903,human,low,unfair,25,0.2,-13.16,-0.72,13.16,35.48,26.32,36.2
4949,human,high,fair,5,0.2,-6.6,-6.8,20.0,59.2,26.6,66.0
4949,human,high,unfair,25,0.08,-6.84,-7.52,11.64,29.16,18.48,36.68
4949,human,low,fair,5,0.0,-5.8,-9.0,17.2,11.6,23.0,20.6
4949,human,low,unfair,25,0.12,-7.6,-10.68,15.8,2.72,23.4,13.4
5037,human,high,fair,5,0.0,-1.2,0.2,18.6,-5.0,19.8,-5.2
5037,human,high,unfair,25,0.2,-2.72,0.12,28.52,19.48,31.24,19.36
5037,human,low,fair,5,0.4,0.0,1.4,17.8,28.0,17.8,26.6
5037,human,low,unfair,25,0.8,1.04,1.76,7.0,24.0,5.96,22.24
7463,human,high,fair,5,0.0,3.2,0.6,2.4,60.8,-0.8,60.2
7463,human,high,unfair,25,0.04,-7.76,2.48,20.32,28.32,28.08,25.84
7463,human,low,fair,5,0.2,12.6,6.2,-6.8,6.8,-19.4,0.6
7463,human,low,unfair,25,0.44,-4.28,-0.12,27.92,24.28,32.2,24.4
7699,human,high,fair,5,0.0,14.6,14.6,-0.8,60.8,-15.4,46.2
7699,human,high,unfair,25,0.28,-4.88,1.6,15.08,18.76,19.96,17.16
