Source,word,n
Human,player,274
Human,unfair,66
Human,distribution,57
Human,amount,56
Human,money,55
Human,little,49
Human,agree,47
Human,get,43
Human,one,43
Human,can,40
Human,allocation,37
Human,fair,36
Human,much,35
Human,think,29
Human,allocated,25
Human,refuse,25
Human,two,25
Human,proposal,24
Human,players,23
Human,yuan,23
Human,relatively,22
Human,gave,20
Human,small,17
Human,want,17
Human,gives,16
Human,give,14
Human,less,14
Human,plan,14
Human,gets,13
Human,given,13
Human,allocates,12
Human,feel,12
Human,reasonable,12
Human,reject,12
Human,three,12
Human,unreasonable,11
Human,also,10
Human,difference,10
Human,income,10
Human,rejected,10
Human,selfish,10
Human,acceptable,9
Human,bit,9
Human,dollar,9
Human,still,9
Human,take,9
Human,reward,8
Human,accept,7
Human,choose,7
Human,everyone,7
Human,first,7
Human,low,7
Human,people,7
Human,although,6
Human,chose,6
Human,different,6
Human,felt,6
Human,giving,6
Human,greedy,6
Human,interests,6
Human,just,6
Human,line,6
Human,reason,6
Human,see,6
Human,benefit,5
Human,big,5
Human,bottom,5
Human,choice,5
Human,disagree,5
Human,expectations,5
Human,fairer,5
Human,fairly,5
Human,gap,5
Human,large,5
Human,least,5
Human,lose,5
Human,price,5
Human,rewards,5
Human,smaller,5
Human,way,5
Human,agreed,4
Human,benefits,4
Human,certain,4
Human,decision,4
Human,distributed,4
Human,equal,4
Human,even,4
Human,exceeds,4
Human,fairness,4
Human,keep,4
Human,make,4
Human,person,4
Human,principle,4
Human,profit,4
Human,right,4
Human,slightly,4
Human,takes,4
Human,uneven,4
Human,always,3
Human,amounts,3
Human,angry,3
Human,appropriate,3
Human,average,3
Human,behavior,3
Human,better,3
Human,chooses,3
Human,close,3
Human,completely,3
Human,consider,3
Human,consideration,3
Human,considering,3
Human,enough,3
Human,extremely,3
Human,game,3
Human,got,3
Human,later,3
Human,like,3
Human,long,3
Human,losses,3
Human,lower,3
Human,makes,3
Human,matter,3
Human,need,3
Human,nothing,3
Human,others,3
Human,paid,3
Human,particularly,3
Human,penny,3
Human,possible,3
Human,previous,3
Human,quite,3
Human,ratio,3
Human,really,3
Human,refused,3
Human,round,3
Human,second,3
Human,since,3
Human,something,3
Human,stand,3
Human,stingy,3
Human,thought,3
Human,took,3
Human,us,3
Human,well,3
Human,whether,3
Human,within,3
Human,without,3
Human,able,2
Human,affect,2
Human,allocate,2
Human,allocations,2
Human,almost,2
Human,among,2
Human,beginning,2
Human,beneficial,2
Human,bonus,2
Human,cent,2
Human,clicked,2
Human,decided,2
Human,distribute,2
Human,distributes,2
Human,division,2
Human,earn,2
Human,equally,2
Human,exceed,2
Human,excessive,2
Human,extreme,2
Human,far,2
Human,find,2
Human,found,2
Human,gains,2
Human,generous,2
Human,however,2
Human,human,2
Human,impact,2
Human,inclination,2
Human,left,2
Human,let,2
Human,made,2
Human,may,2
Human,might,2
Human,mind,2
Human,mission,2
Human,moment,2
Human,must,2
Human,nature,2
Human,never,2
Human,number,2
Human,numbers,2
Human,offer,2
Human,ones,2
Human,option,2
Human,payoff,2
Human,point,2
Human,points,2
Human,proposals,2
Human,proposed,2
Human,punish,2
Human,punished,2
Human,range,2
Human,rather,2
Human,refusal,2
Human,rejecting,2
Human,rejection,2
Human,respect,2
Human,selfishness,2
Human,seriously,2
Human,split,2
Human,standards,2
Human,system,2
Human,third,2
Human,times,2
Human,together,2
Human,totally,2
Human,try,2
Human,unbalanced,2
Human,unethical,2
Human,unless,2
Human,violates,2
Human,wanted,2
Human,wants,2
Human,win,2
Human,wrong,2
Human,absolutely,1
Human,accepting,1
Human,accidentally,1
Human,accidents,1
Human,account,1
Human,achieve,1
Human,advantage,1
Human,advantageous,1
Human,affects,1
Human,agrees,1
Human,already,1
Human,anger,1
Human,answered,1
Human,anything,1
Human,asks,1
Human,back,1
Human,balance,1
Human,base,1
Human,based,1
Human,bear,1
Human,bearable,1
Human,becoming,1
Human,biased,1
Human,boundary,1
Human,calm,1
Human,care,1
Human,case,1
Human,cases,1
Human,centered,1
Human,character,1
Human,check,1
Human,choosing,1
Human,closely,1
Human,coins,1
Human,comparing,1
Human,comparison,1
Human,compromise,1
Human,conflict,1
Human,consistent,1
Human,contributions,1
Human,copy,1
Human,correction,1
Human,cost,1
Human,decide,1
Human,decreased,1
Human,deducted,1
Human,degree,1
Human,desires,1
Human,desperation,1
Human,despise,1
Human,destabilize,1
Human,differences,1
Human,disparate,1
Human,dissatisfaction,1
Human,dissatisfied,1
Human,distributions,1
Human,due,1
Human,earned,1
Human,ease,1
Human,effective,1
Human,effort,1
Human,either,1
Human,else,1
Human,end,1
Human,ensure,1
Human,ensures,1
Human,evenly,1
Human,example,1
Human,exceeded,1
Human,exceeding,1
Human,exceptions,1
