word,category,confidence,rationale
emotional,emotion,0.95,Directly related to emotions and appears in emotion seed list
player,other,0.9,"Refers to a participant/actor, not related to emotion, fairness or cost"
sensitivity,emotion,0.8,Related to emotional responsiveness and reactivity
justice,fairness,0.95,"Directly appears in fairness seed list, core fairness concept"
high,other,0.85,Generic descriptor not specific to any category
choice,other,0.85,"Refers to decision-making but not specifically emotional, fair or costly"
prosocial,fairness,0.75,Related to fair and equitable social behavior
fairness,fairness,0.98,"Directly appears in fairness seed list, central concept"
arousal,emotion,0.85,Refers to emotional/physiological activation state
low,other,0.85,Generic descriptor not specific to any category
cost,cost,0.98,"Directly appears in cost seed list, central concept"
punishing,cost,0.8,"Implies negative consequence or penalty, related to cost"
seeing,other,0.9,Generic action verb not specific to any category
valence,emotion,0.85,Refers to emotional positivity/negativity dimension
choices,other,0.85,"Plural of choice, refers to decision-making but not specific to categories"
reactivity,emotion,0.85,"Related to emotional responsiveness, similar to 'react' in emotion seed list"
intensity,emotion,0.8,Often describes strength of emotional experience
unfairness,fairness,0.95,"Direct opposite of fairness, related to unfair in seed list"
punish,cost,0.8,"Implies negative consequence or penalty, related to cost"
feels,emotion,0.9,Directly related to emotional experience
depression,emotion,0.9,"Represents negative emotional state, related to sad in seed list"
score,other,0.85,"Refers to measurement/points, not specific to categories"
punishment,cost,0.8,"Implies negative consequence or penalty, related to cost"
injustice,fairness,0.95,"Opposite of justice, clearly related to fairness concepts"
post,other,0.95,Generic term not related to any category
unfair,fairness,0.95,Directly appears in fairness seed list
frustration,emotion,0.95,"Negative emotion, appears in emotion seed list"
strong,other,0.8,Generic descriptor not specific to any category
satisfaction,emotion,0.9,"Positive emotion, related to satisfied in seed list"
social,other,0.85,Refers to interpersonal domain but not specific to categories
despite,other,0.95,"Conjunction indicating contrast, not related to emotion, fairness, or cost"
negative,emotion,0.75,"Often associated with negative emotions or feelings, though can also be used neutrally"
initial,other,0.95,"Temporal descriptor, not related to emotion, fairness, or cost"
though,other,0.95,"Conjunction indicating contrast, not related to emotion, fairness, or cost"
keep,other,0.95,"Action verb indicating continuation, not related to emotion, fairness, or cost"
autism,other,0.9,"Medical/developmental condition, though sometimes related to fairness discussions, not inherently about fairness"
fair,fairness,0.98,"Directly appears in fairness seed list, core concept of equity and justice"
routine,other,0.9,"Describes regular procedure, not related to emotion, fairness, or cost"
action,other,0.95,"Generic term for doing something, not related to emotion, fairness, or cost"
anger,emotion,0.98,"Direct emotional state, appears similar to words in emotion seed list"
aligns,other,0.9,"Describes correspondence or matching, not related to emotion, fairness, or cost"
giving,other,0.85,"Action of providing something, not inherently related to emotion, fairness, or cost"
triggers,emotion,0.85,"Related to emotional reactions, similar to 'triggered' in emotion seed list"
residual,other,0.95,"Technical term referring to remainder, not related to emotion, fairness, or cost"
mild,other,0.85,"Descriptor of intensity, though can modify emotions, not inherently emotional"
positive,emotion,0.8,"Often associated with positive emotions, though can be used neutrally"
note,other,0.95,"Verb or noun referring to observation/recording, not related to emotion, fairness, or cost"
due,other,0.95,"Indicates causation or timing, not related to emotion, fairness, or cost"
scores,other,0.9,"Numerical measurements, not inherently related to emotion, fairness, or cost"
societal,fairness,0.75,Often used in context of social justice and fairness discussions
relief,emotion,0.98,"Appears in emotion seed list, clear emotional state"
average,other,0.9,"Statistical term, not related to emotion, fairness, or cost"
tension,emotion,0.85,"Implies emotional or psychological stress, related to emotional states"
enforcing,fairness,0.8,Often used in context of ensuring fairness or justice
intense,emotion,0.85,Often describes strong emotional states or reactions
values,fairness,0.8,Often related to moral principles and fairness considerations
slightly,other,0.95,"Modifier indicating small degree, not related to emotion, fairness, or cost"
duration,cost,0.8,"Related to time consumption, similar to concepts in cost seed list"
amplifies,other,0.85,"Indicates increase or enhancement, not inherently related to emotion, fairness, or cost"
subscore,other,0.95,"Technical term for component score, not related to emotion, fairness, or cost"
orientation,other,0.95,"Refers to direction or positioning, not clearly related to emotion, fairness, or cost"
agitation,emotion,0.9,Describes a state of emotional disturbance or anxiety
extreme,other,0.85,"Describes intensity or degree, not specifically tied to main categories"
personality,other,0.85,"Refers to individual characteristics, not directly related to main categories"
decision,other,0.95,"Refers to choice-making process, not specifically emotional, fairness, or cost related"
makes,other,0.99,"Generic verb, not specific to any category"
emotion,emotion,0.99,Directly refers to feelings and emotional states
split,other,0.9,"Refers to division, not specifically related to main categories"
negativity,emotion,0.85,Refers to negative emotional states or attitudes
personal,other,0.85,"Refers to individual matters, not specifically tied to main categories"
earnings,cost,0.9,Related to financial resources and monetary value
reaction,emotion,0.8,Often refers to emotional response or feeling
lingers,other,0.85,"Describes duration, not specifically tied to main categories"
allocation,cost,0.85,Related to distribution of resources
aa,other,0.99,Abbreviation with unclear meaning
ac,other,0.99,Abbreviation with unclear meaning
costs,cost,0.99,Directly related to expenses and resource usage
paying,cost,0.95,Related to financial transactions and expenses
elevated,other,0.8,"Describes height or increase, not specifically tied to main categories"
profile,other,0.9,"Refers to description or outline, not specifically related to main categories"
somatic,other,0.85,"Relates to the body, not specifically emotional, fairness, or cost related"
feel,emotion,0.95,Directly related to emotions and emotional experience
imbalance,fairness,0.85,Relates to lack of equality or fair distribution
prioritize,other,0.8,"Refers to ordering importance, not specifically tied to main categories"
moral,fairness,0.85,Related to ethics and justice
individual,other,0.9,"Refers to a single person, not specifically tied to main categories"
upholding,other,0.8,"Refers to maintaining something, not specifically tied to main categories"
undifferentiated,other,0.85,"Refers to lack of distinction, not specifically tied to main categories"
acting,other,0.85,"Refers to taking action, not specifically tied to main categories"
loss,cost,0.9,Related to negative financial or resource outcomes
tendency,other,0.9,"Describes a general inclination or pattern, not specifically tied to emotion, fairness, or cost"
behavior,other,0.95,"Refers to actions or conduct in general, not specifically emotional, fairness, or cost-related"
greed,emotion,0.85,Represents an emotional state of excessive desire or want
competitive,other,0.8,"Describes a characteristic or situation of competition, not primarily emotional, fairness, or cost-focused"
adrenaline,emotion,0.9,Associated with emotional arousal and excitement
moderate,other,0.85,"Describes a degree or level, not specifically tied to any category"
spikes,other,0.9,"Refers to sudden increases, not specifically emotional, fairness, or cost-related"
risk,cost,0.95,"Directly appears in cost seed list, related to potential negative consequences"
traits,other,0.9,"Refers to characteristics in general, not specific to any category"
emotions,emotion,1,Directly related to emotional states and feelings
symptoms,other,0.85,"Refers to indicators or signs, not specifically tied to any category"
preference,other,0.8,"Indicates choice or liking, not specifically emotional, fairness, or cost-related"
self,other,0.95,"Refers to individual identity, not specific to any category"
visceral,emotion,0.9,Relates to deep emotional or instinctive feelings
heightened,other,0.8,"Describes increased intensity, not specific to any category"
calm,emotion,0.95,Describes an emotional state of tranquility
related,other,0.95,"Indicates connection, not specific to any category"
nature,other,0.9,"Refers to essential qualities or the natural world, not specific to any category"
zero,other,0.95,"Numerical concept, not specific to any category"
mildly,other,0.85,"Describes intensity level, not specific to any category"
exploitation,fairness,0.9,Related to unfair treatment and taking advantage of others
amplify,other,0.85,"Refers to increasing intensity, not specific to any category"
act,other,0.9,"Refers to action or behavior, not specific to any category"
rigidity,other,0.85,"Describes inflexibility, not specific to any category"
gain,cost,0.8,"Related to benefits or advantages, often used in cost-benefit context"
conflict,other,0.8,"Describes disagreement or opposition, could relate to multiple categories but not specifically any one"
remains,other,0.95,"Indicates continuation, not specific to any category"
aligning,other,0.9,"Refers to bringing into agreement, not specific to any category"
especially,other,0.95,"Adverb indicating particular emphasis, not specific to any category"
reflect,other,0.85,"Refers to thinking or showing, not specific to any category"
total,other,0.95,"Neutral quantifier word not specifically related to emotion, fairness, or cost"
tendencies,other,0.85,"Describes behavioral patterns without specific emotional, fairness, or cost implications"
accepting,emotion,0.8,Implies an emotional state of being open and receptive
slight,other,0.9,"Descriptor of magnitude without specific emotional, fairness, or cost associations"
still,other,0.95,Temporal/state word without specific category implications
baseline,other,0.85,Technical reference point term not specifically tied to any category
without,other,0.95,Preposition lacking specific category association
make,other,0.95,Generic action verb without specific category implications
demands,cost,0.75,Often relates to resource requirements or burden
overrides,other,0.85,Technical term for superseding without strong category association
lingering,emotion,0.7,Often describes persistent emotional states or feelings
interest,emotion,0.75,Represents emotional engagement or curiosity
take,other,0.95,Generic action verb without specific category implications
discomfort,emotion,0.95,Direct emotional state found in emotion seed list
drive,other,0.8,Action verb without clear category association
outrage,emotion,0.95,Strong negative emotional reaction
like,other,0.85,Multipurpose word without clear category when isolated
accept,emotion,0.75,Implies emotional state of acceptance
proself,fairness,0.7,"Related to self-interest vs collective good, touching on fairness concepts"
irritation,emotion,0.9,Clear negative emotional state
prevents,other,0.9,Action verb without specific category association
prioritizes,other,0.85,Process verb without inherent category association
even,fairness,0.7,Can relate to fairness when used in context of balance or equality
positivity,emotion,0.9,Describes positive emotional state or attitude
fuels,other,0.85,Action verb without specific category implications
focus,other,0.9,Attention-related term without specific category association
activation,other,0.85,Technical process term without clear category association
bias,fairness,0.95,"Directly related to fairness issues, found in fairness seed list"
lower,other,0.9,Comparative term without specific category association
enforce,other,0.85,Action verb related to implementation without clear category association
imagination,other,0.85,"While it can involve emotional elements, it's primarily a cognitive process"
amplified,other,0.8,"General term for increase or enhancement, not specific to any category"
reducing,cost,0.85,"Often used in context of decreasing costs, resources, or overhead"
drops,cost,0.8,"Usually refers to reduction in resources, prices, or costs"
deeply,emotion,0.75,Often used to describe intense emotional experiences or feelings
outweighs,cost,0.85,Related to trade-offs and comparing costs/benefits
blatant,fairness,0.8,Often used in context of obvious discrimination or unfairness
offer,other,0.9,General action word not specific to any category
explanation,other,0.95,Neutral term related to providing information or clarification
means,other,0.9,"General term for method or way, not specific to categories"
breakdown,cost,0.75,Often relates to system failures or resource analysis
affect,emotion,0.85,Commonly used in context of emotional impact or influence
person,other,0.95,General noun not specific to any category
contradicts,other,0.9,Logical term not specific to any category
acceptance,emotion,0.85,Reflects emotional state of acknowledging or coming to terms with something
less,cost,0.7,Often used in context of reduced resources or costs
sub,other,0.95,Prefix or general term not specific to any category
financial,cost,0.95,Directly related to monetary costs and resources
keeps,other,0.9,General verb not specific to any category
intensely,emotion,0.85,Often describes strong emotional experiences or reactions
since,other,0.95,General conjunction not specific to any category
necessary,other,0.85,"General term for requirement, not specific to categories"
distress,emotion,0.95,Clear negative emotional state
patterns,other,0.9,General term for recurring structures or behaviors
perceived,other,0.75,"Related to observation or understanding, not specific to categories"
equity,fairness,0.95,Directly related to fairness and equal treatment
letting,other,0.9,General verb not specific to any category
minimal,cost,0.8,Often used in context of reduced resources or costs
override,other,0.85,Technical term not specific to any category
reactions,emotion,0.85,Often refers to emotional responses or feelings
reduces,cost,0.85,Implies decreasing or minimizing resources or expenses
numbers,other,0.95,"Neutral quantitative term not specifically tied to emotion, fairness, or cost"
calmer,emotion,0.95,Directly describes an emotional state of reduced anxiety or stress
core,other,0.9,Neutral term referring to central or fundamental aspects
energy,cost,0.85,Appears in cost seed list as a resource consideration
focused,other,0.8,"Describes attention or concentration state, not primarily emotional"
reduced,cost,0.85,"Similar to 'reduces', implies decreasing resources or expenses"
switching,other,0.9,Neutral action verb not specifically tied to any category
need,other,0.75,General term for requirement or necessity
choosing,other,0.85,Decision-making action not specifically tied to any category
individualistic,fairness,0.75,Related to individual treatment and potential bias considerations
improves,other,0.85,General positive change not specific to any category
resolve,other,0.8,"Action of finding solution, not specifically emotional or cost-related"
skills,other,0.95,Neutral term referring to abilities or capabilities
keeping,other,0.9,General action verb not specific to any category
slide,other,0.95,Neutral movement term not related to main categories
violates,fairness,0.8,Implies breaking rules or fairness principles
