word,category,confidence,rationale
player,other,1.0,"The word 'player' is not present in any of the seed lists and does not clearly imply an emotion, fairness, or cost concept."
unfair,fairness,1.0,The word 'unfair' is explicitly in the fairness seed list.
distribution,other,0.8,"Although 'distribution' can be related to resource allocation (a fairness concern in some contexts), it is not clearly a fairness term based on the seed list and is used in many general contexts."
amount,other,1.0,"The word 'amount' is a general quantitative term and does not map closely to emotion, fairness, or cost based on the seed lists."
money,other,0.9,"While 'money' relates to economic resources, it is not explicitly part of the cost seed list and is used in many contexts; therefore, it is classified as 'other'."
little,other,1.0,"The term 'little' is an adjective related to size/quantity and does not align with the emotion, fairness, or cost concepts from the seed lists."
agree,other,1.0,"The word 'agree' does not belong to the emotion, fairness, or cost semantic categories as defined by the seed lists."
get,other,1.0,"The word 'get' is a common verb without a semantic alignment to emotion, fairness, or cost."
one,other,1.0,"As a numeral, 'one' does not fit into the categories of emotion, fairness, or cost."
can,other,1.0,The modal verb 'can' is grammatical in nature and does not imply any of the listed semantic categories.
allocation,fairness,0.8,"Although not explicitly in the fairness seed list, 'allocation' is closely tied to resource distribution and fairness issues (e.g., equal allocation) making it semantically similar."
fair,fairness,1.0,The word 'fair' is directly in the fairness seed list.
much,other,1.0,"The word 'much' is an adverb indicating quantity and does not carry an emotion, fairness, or cost-specific meaning."
think,other,1.0,The word 'think' is a cognitive verb and does not specifically align with the provided semantic categories.
allocated,fairness,0.8,"Derived from 'allocation', the term 'allocated' implies resource distribution, which is relevant in fairness discussions."
refuse,other,1.0,"The verb 'refuse' does not match any of the seed lists and is better considered as a general decision-making term rather than an emotion, fairness, or cost term."
two,other,1.0,"As a numeral, 'two' does not align with any of the specific semantic categories."
proposal,other,1.0,"While 'proposal' is relevant in decision-making contexts, it does not convey a clear connection to emotion, fairness, or cost as per the seed lists."
players,other,1.0,The plural 'players' is a variation of 'player' and does not tie directly to any of the three semantic categories.
yuan,other,1.0,"The term 'yuan', a unit of currency, does not appear in the cost seed list and is used in broader economic contexts, so it is classified as 'other'."
relatively,other,1.0,The word 'relatively' is an adverb used for comparative purposes and does not align with the targeted semantic categories.
gave,other,1.0,"As the past tense of 'give', the term 'gave' does not inherently suggest an emotion, fairness, or cost concept."
small,other,1.0,"The adjective 'small' describes size or amount and is not indicative of emotion, fairness, or cost."
want,other,1.0,"Though related to preferences or decisions, 'want' does not specifically fall into the emotion, fairness, or cost categories."
gives,other,1.0,The verb 'gives' is a variation of 'give' and does not align with any of the specified semantic categories.
give,other,1.0,"The basic verb 'give' is used in a variety of contexts and does not have a direct association with emotion, fairness, or cost."
less,other,1.0,"The word 'less' is typically used to indicate a smaller amount or degree, without directly implying emotion, fairness, or cost in itself."
plan,other,1.0,"While relevant in decision-making, 'plan' is not specific to the semantic categories provided in the seed lists."
gets,other,1.0,"Similar to 'get', the verb 'gets' does not connect to the categories of emotion, fairness, or cost."
given,other,1.0,"The word 'given' functions as a modifier or past participle and does not semantically align with emotion, fairness, or cost."
three,other,1.0,"A numeral with no intrinsic connection to emotion, fairness, or cost concepts."
reject,other,1.0,"A neutral action verb that does not inherently carry emotional, fairness, or cost connotations."
reasonable,fairness,0.8,"Often used to assess whether conditions or requests are fair or just, aligning it with fairness even though it is not in the seed list."
feel,emotion,0.9,"Directly relates to experiencing emotions, which firmly places it in the emotion category."
allocates,other,0.8,"A neutral term referring to distribution or assignment of resources that does not specifically evoke fairness, emotion, or cost by itself."
unreasonable,fairness,0.8,"Commonly used to critique conditions or decisions as unjust or inequitable, which ties it to fairness considerations."
also,other,1.0,"A connector word that does not convey any semantic content related to emotion, fairness, or cost."
difference,other,0.7,"Although it can be involved in discussions about fairness, the term is too general to be exclusively associated with any of the specified categories."
income,other,1.0,"A financial term that, while related to monetary matters, does not directly align with the cost-related seed words or the other categories as defined."
rejected,other,1.0,"The past tense of 'reject', it remains a neutral term without a strong semantic pull toward emotion, fairness, or cost."
selfish,fairness,0.8,"Carries a moral judgment about prioritizing oneself over others, often discussed in contexts of fairness and equitable behavior."
dollar,cost,1.0,"Directly refers to money and financial measures, making it clearly aligned with the cost category."
take,other,1.0,"A generic verb that does not inherently evoke emotion, fairness or cost-related meaning."
still,other,1.0,"An adverb used for emphasis or continuity, lacking any specific semantic content that connects with the defined categories."
bit,other,1.0,"An informal quantifier or part of an idiomatic expression that does not clearly relate to emotion, fairness, or cost."
acceptable,fairness,0.8,"It is often used to judge whether conditions or distributions are just, aligning it with discussions of fairness."
reward,other,0.8,"While rewards can be linked to positive outcomes and evaluations, the term itself is neutral and not directly tied to any seed category."
accept,other,0.8,"A generic verb that, similar to 'reject', does not carry a distinct association with emotion, fairness, or cost."
choose,other,1.0,"A common decision-making verb that is too general to be specifically classified under emotion, fairness, or cost."
everyone,fairness,0.8,"Implies inclusivity and equal treatment, which are central to fairness considerations."
first,other,1.0,"An ordinal indicator with no inherent semantic link to emotion, fairness, or cost."
low,other,0.8,"While 'low' can appear in cost-related phrases (e.g., 'low cost'), by itself it is ambiguous and not explicitly tied to the cost seed concepts."
people,other,1.0,"A general noun that does not inherently indicate emotion, fairness, or cost in this context."
see,other,1.0,A basic verb of perception that does not carry a specific association with any of the three defined semantic categories.
interests,other,0.8,"Though 'interests' can pertain to personal or collective stakes (sometimes discussed in fairness contexts), it remains a broad term without a strong, exclusive link to any category."
reason,other,1.0,"A term related to logic or justification, which does not directly align with the emotional, fairness, or cost domains as defined by the seed lists."
line,other,1.0,"A polysemous word with many meanings, but none that clearly fit into the emotion, fairness, or cost categories."
just,fairness,1.0,"Explicitly listed within the fairness seed words, making its classification straightforward."
greedy,fairness,0.9,"Carries a negative moral judgment often associated with unfair or self-serving behavior, aligning it with fairness issues."
giving,fairness,0.8,"Associated with generosity and equitable behavior, which fits within the fairness domain."
felt,other,0.9,"‘Felt’ is the past tense of ‘feel’ and while it relates to the experience of sensations or emotions, it is too generic and not specific to the emotion seed list."
different,other,0.9,"The word ‘different’ is a generic descriptor indicating dissimilarity and does not closely match any particular seed list of emotion, fairness, or cost."
chose,other,0.9,"‘Chose’ is the past tense of ‘choose’ and relates to decision‐making, but it does not align specifically with any of the three semantic categories provided."
although,other,0.95,"‘Although’ is a conjunction used to contrast clauses and does not represent an emotion, fairness, or cost concept."
gap,other,0.7,"While ‘gap’ can sometimes be used to highlight disparities (potentially linking to fairness concerns), in isolation it is too ambiguous and does not clearly match the fairness seed list."
way,other,0.95,"‘Way’ is a general term that can suggest manner or direction but does not fit specifically with emotion, fairness, or cost."
smaller,other,0.95,‘Smaller’ is a comparative adjective indicating size and it does not have a specific association with any of the given semantic categories.
rewards,other,0.8,"Although ‘rewards’ might sometimes be discussed in contexts of fairness or cost–benefit analyses, it is not included in the provided seed lists and remains ambiguous outside those contexts."
price,cost,1.0,‘Price’ is explicitly present in the cost seed list and clearly relates to costing concepts.
lose,other,0.9,"‘Lose’ refers to the act of not gaining or misplacing something, and while it can be linked to negative outcomes, it does not align with the specific seed words for any of the categories."
least,other,0.9,"‘Least’ is a superlative adjective that does not denote an emotion, fairness issue, or cost-related concept on its own."
large,other,0.9,"‘Large’ is a size descriptor and does not have a semantic connection with emotion, fairness, or cost."
bottom,other,0.9,"‘Bottom’ is a spatial or ordinal term and does not carry a meaning that fits into either the emotion, fairness, or cost categories."
fairly,fairness,0.8,"‘Fairly’ is the adverbial form of ‘fair’, and although it is not in the seed list verbatim, it semantically aligns with fairness as a concept."
fairer,fairness,0.8,"‘Fairer’ is a comparative form suggesting a higher degree of fairness, aligning it with the fairness category despite not being an exact seed word."
expectations,other,0.9,"‘Expectations’ relate to anticipated outcomes; while relevant in decision-making contexts, they do not specifically fall under emotion, fairness, or cost."
disagree,other,0.9,"‘Disagree’ indicates a difference in opinion or conflict, but it does not directly match any of the provided semantic categories."
choice,other,0.9,"Although ‘choice’ is central to decision-making, it is a neutral term and isn’t specific to emotion, fairness, or cost as defined by the seed lists."
big,other,0.9,‘Big’ is a general adjective indicating size; it is not specifically aligned with any of the three targeted semantic categories.
benefit,other,0.9,"‘Benefit’ implies a positive outcome or advantage, but it is not part of the provided cost, fairness, or emotion seed lists and thus is categorized as other."
right,fairness,0.7,"‘Right’ can denote fairness or justice (as in what is morally correct) which connects it to the fairness category, though its ambiguity lowers confidence slightly."
person,other,0.95,"‘Person’ is a neutral term referring to an individual and does not specifically fit the emotion, fairness, or cost categories."
profit,other,0.9,"‘Profit’ is an economic term and while related to cost–benefit analyses, it is not part of the cost seed list provided, and thus is categorized as other."
keep,other,0.95,"‘Keep’ is a generic verb with no particular association to emotion, fairness, or cost as defined by the seed lists."
slightly,other,0.95,‘Slightly’ is an adverb indicating a small degree and does not pertain to any of the specified categories.
takes,other,0.95,"‘Takes’ is a general verb that does not have a clear semantic alignment with emotion, fairness, or cost."
uneven,fairness,0.8,"‘Uneven’ suggests imbalance, which can imply unfairness; although it is not in the seed list, its semantic association with disparity favors the fairness category."
make,other,0.95,"‘Make’ is a common, general verb not specifically related to any of the three semantic categories."
principle,other,0.9,"While ‘principle’ could be connected to moral or fairness discussions in context, by itself it is too broad and does not directly match any seed list."
fairness,fairness,1.0,‘Fairness’ is explicitly present in the fairness seed list and directly represents the concept of equitable treatment.
even,other,0.9,"The word 'even' is used as an adverb or adjective without any clear tie to emotional states, fairness concepts, or cost considerations."
agreed,other,0.9,"While 'agreed' indicates consensus or acceptance, it does not explicitly evoke an emotional state, fairness concern, or cost-related concept per the seed lists."
equal,fairness,1.0,'Equal' is explicitly included in the fairness seed list and directly represents equality and equitable distribution.
distributed,fairness,0.6,"Although not in the seed list, 'distributed' often implies allocation or sharing, which can suggest fairness in the division of resources."
decision,other,1.0,"The term 'decision' is generic and central to decision-making processes but does not specifically evoke emotional, fairness, or cost-related dimensions."
certain,other,1.0,"The adjective 'certain' is used to indicate confidence or sureness, but it is not tied to the specific emotion of 'confident' in the seed list nor does it clearly relate to fairness or cost."
benefits,other,0.9,"'Benefits' is a term that commonly appears in decision-making contexts regarding pros and cons, without a clear semantic alignment to emotion, fairness, or cost as defined by the seed lists."
exceeds,other,1.0,"The verb 'exceeds' is used in comparative or quantitative contexts and does not inherently imply emotion, fairness, or cost."
previous,other,1.0,This is a temporal descriptor that does not relate to any of the semantic categories specified.
really,other,1.0,"Used as an intensifier, 'really' does not have a clear semantic alignment with emotion, fairness, or cost."
ratio,other,0.9,"While mathematical ratios can be used to analyze fairness in some contexts, on its own 'ratio' is a generic quantitative term not explicitly tied to the fairness seed list."
quite,other,1.0,"This word functions as an adverb to modify adjectives and does not imply any emotional, fairness, or cost-related concept."
paid,cost,0.7,"The word 'paid' relates to financial transactions and expenditure, which is conceptually aligned with cost considerations even though it is not explicitly in the cost seed list."
possible,other,1.0,"A general term indicating feasibility, 'possible' does not carry explicit emotional, fairness, or cost semantics."
penny,cost,0.9,"A 'penny' is a unit of currency and directly relates to monetary cost, making its classification aligned with the cost category."
particularly,other,1.0,"Used as an intensifier or specifying a degree, this adverb does not inherently connect to any of the three key semantic groups."
round,other,1.0,"Despite its varied meanings (geometric shape, period, or rounding in arithmetic), 'round' does not clearly fit into any of the emotion, fairness, or cost categories."
others,other,1.0,A pronoun referring to additional people or items; it does not semantically align with any of the specified categories.
refused,other,1.0,"This past-tense verb indicates a denial or rejection; it is generic in nature and does not directly invoke emotional, fairness, or cost concepts."
stingy,cost,0.7,"While not in the seed list, 'stingy' describes an unwillingness to spend resources and is conceptually linked with cost or resource-saving behavior."
second,other,1.0,"Often used to denote order or time, 'second' does not inherently reflect an emotional state, fairness concept, or cost implication."
since,other,1.0,"A conjunction or preposition, 'since' is used to indicate time or causality and does not relate to the target categorical concepts."
stand,other,1.0,"Without additional context (e.g., 'take a stand'), 'stand' here is too ambiguous and does not clearly fit into emotional, fairness, or cost categories."
need,other,1.0,"A basic verb/noun regarding requirements, 'need' does not specifically signify an emotional, fairness, or cost-related concept as defined by the seed lists."
thought,other,1.0,"This cognitive term does not directly evoke the specific concepts of emotion, fairness, or cost."
took,other,1.0,"As the past tense of a general verb, 'took' lacks clear semantic ties to the primary categories under consideration."
us,other,1.0,"A pronoun referring to people; it does not imply a specific connection to emotion, fairness, or cost."
well,other,1.0,"Though it can function as an adverb or adjective indicating quality or health, it does not distinctly map to any of the three semantic categories provided."
whether,other,1.0,"A conjunction used in making choices, 'whether' is a functional word without inherent emotional, fairness, or cost meaning."
within,other,1.0,"A preposition indicating location or scope, 'within' does not carry significant connotations related to emotion, fairness, or cost."
without,other,0.95,"The word is a common preposition with no direct semantic tie to emotion, fairness, or cost."
nothing,other,0.95,"Although it expresses absence, it does not clearly align with the specific seeds for emotion, fairness, or cost."
something,other,0.95,"This is a general placeholder term and does not semantically indicate emotion, fairness, or cost."
matter,other,0.9,"While 'matter' can be used in various contexts, it does not specifically reference any of the three provided semantic categories."
consider,other,0.9,"This is a general verb about thinking and does not clearly belong to the emotion, fairness, or cost categories."
makes,other,0.95,A common verb that does not convey any direct association with the targeted semantic domains.
always,other,0.95,"An adverb indicating frequency, lacking relevance to emotion, fairness, or cost."
amounts,other,0.9,"Although 'amounts' relates to quantity, it doesn’t specifically align with the semantic features of emotion, fairness, or cost."
appropriate,other,0.9,"While 'appropriate' can sometimes relate to fairness judgments, in isolation it is too general and does not clearly indicate one of the three categories."
average,other,0.95,"A statistical term without a direct relation to the categories of emotion, fairness, or cost."
behavior,other,0.95,"A neutral term that does not specifically evoke emotion, fairness, or cost on its own."
better,other,0.9,"Although 'better' is evaluative, it is too unspecific in this context to be confidently placed in emotion, fairness, or cost."
chooses,other,0.95,A decision-related verb that is too broad and does not indicate any specific semantic category among the provided ones.
close,other,0.9,"A general adjective/adverb that does not align with any of the categories (emotion, fairness, cost) based on its provided usage."
completely,other,0.95,"An intensifier that does not convey or relate to emotion, fairness, or cost."
angry,emotion,1.0,The word 'angry' is explicitly listed in the emotion seed list and clearly represents an emotional state.
consideration,other,0.85,"Although 'consideration' can sometimes imply fairness or thoughtful deliberation, in this isolated use it remains too ambiguous to be clearly classified under emotion, fairness, or cost."
later,other,0.95,"A temporal adverb that does not belong to the categories of emotion, fairness, or cost."
considering,other,0.95,A form of the verb 'consider' that is too general and does not indicate a connection to any of the three specific domains.
losses,cost,0.85,"The term 'losses' implies a negative impact or downside, which aligns with the cost concept of unintended negative effects or penalties even though it is not explicitly in the seed list."
like,other,0.95,A common preposition/verb that does not directly pertain to any of the semantic categories provided.
long,other,0.95,"Typically an adjective describing duration or extent, and does not invoke emotion, fairness, or cost on its own."
got,other,0.95,A common verb without a clear semantic link to any of the specified categories.
game,other,0.9,"While 'game' might be used figuratively in decision-making contexts, it does not inherently align with emotion, fairness, or cost."
extremely,other,0.95,An intensifier that does not carry a semantic weight linking it to any of the provided categories.
enough,other,0.95,"A quantifier that does not inherently belong to emotion, fairness, or cost domains."
lower,other,0.9,"Although 'lower' can be contextually associated with cost reduction, in isolation it is too ambiguous to definitively classify as a cost word."
rejecting,other,0.9,"The term implies a decision or act of refusal, but it does not directly align with the semantic aspects of emotion, fairness, or cost based on the seed lists."
proposals,other,0.95,"A noun representing suggestions or plans, without a clear indication of emotion, fairness, or cost."
refusal,other,0.9,"While 'refusal' indicates a negative decision, it does not clearly map to the categories of emotion, fairness, or cost as defined by the seed lists."
rather,other,1.0,"The word 'rather' functions primarily as an adverb and does not evoke a clear association with emotion, fairness, or cost."
range,other,1.0,"The term 'range' does not semantically align with any of the emotion, fairness, or cost seed lists; it is used in a general or descriptive sense."
punished,fairness,0.8,"Although not in the seed list exactly, 'punished' is associated with justice and retribution, which are connected to fairness and ethical considerations."
punish,fairness,0.8,"Like 'punished', 'punish' relates to enforcing rules and justice, linking it semantically to the fairness category."
proposed,other,1.0,"The word 'proposed' is used to suggest or put forward an idea and does not inherently carry an emotional, fairness, or cost-related connotation."
ones,other,1.0,"The word 'ones' is a pronoun with no specific connection to emotion, fairness, or cost."
points,other,1.0,"Although 'points' can be used in various contexts such as scoring or indicating aspects, there is no clear semantic link to the three specified categories."
point,other,1.0,"Similar to 'points', the singular 'point' is neutral and does not evoke concepts of emotion, fairness, or cost."
payoff,other,0.8,"While 'payoff' can describe a reward or outcome in decision contexts, it does not align with the specific seed words of cost (which focus on expense or burden) or the other categories."
