word,category,confidence,rationale
righteous,fairness,0.9,"The term 'righteous' connotes moral correctness and ethical integrity, aligning it with fairness and justice."
rage,emotion,0.95,"Rage is an intense emotion associated with anger, fitting squarely within the emotion category."
catharsis,emotion,0.9,"Catharsis refers to the process of releasing strong emotions, making it semantically aligned with emotion."
immediate,other,0.8,"While 'immediate' indicates a quick or direct temporal quality, it does not inherently relate to emotion, fairness, or cost."
dissonance,emotion,0.8,"Dissonance often refers to psychological or emotional conflict (e.g., cognitive dissonance), aligning it with negative emotional states."
eases,emotion,0.7,"The verb 'eases' suggests the alleviation of tension or discomfort, a notion often linked to emotional relief."
clear,other,0.8,"The word 'clear' is ambiguous without context and does not specifically evoke emotion, fairness, or cost."
outcomes,other,0.85,"While outcomes relate to results or consequences, they do not inherently signal emotion, fairness, or cost in the provided semantic categories."
greedy,fairness,0.8,Greedy describes a self‐interested or unfair disposition and is often used in moral judgments related to fairness.
restores,other,0.65,"Without additional context, 'restores' simply implies returning to a previous state and does not clearly signal emotion, fairness, or cost."
correct,fairness,0.85,"The idea of being 'correct' carries moral and ethical connotations (as in doing what is right), which relates it to fairness."
restoring,other,0.65,"Similar to 'restores', 'restoring' suggests a process of return or renewal without a clear tie to the specific semantic categories."
alertness,other,0.75,"Alertness relates to a state of attention or awareness and does not neatly fall under emotion, fairness, or cost."
igh,other,0.2,"The term 'igh' appears to be a misspelling or incomplete word, making its classification highly uncertain."
reduce,cost,0.85,"To 'reduce' often pertains to lowering amounts such as cost, effort, or resources, aligning it with cost-related concepts."
muted,emotion,0.7,"The descriptor 'muted' can reflect a subdued or less intense expression, which can be applied to emotional expression even if indirectly."
enacting,other,0.75,"Enacting refers to putting something into action and is too general without additional context, so it is classified as other."
principles,fairness,0.9,Principles relate to core moral or ethical values and are strongly linked to fairness and justice.
history,other,0.8,"History is a broad term for past events and does not specifically align with emotion, fairness, or cost."
predictable,other,0.8,Predictable describes an expected or reliable outcome but does not inherently connect to any of the three targeted semantic categories.
overriding,other,0.8,"Overriding indicates dominance or primary importance, a general descriptor that does not point specifically to emotion, fairness, or cost."
minor,other,0.75,"Minor is an ambiguous qualifier and, without further context, does not clearly associate with any of the provided categories."
wrong,fairness,0.85,"Wrong suggests an ethical misstep or injustice, which situates it within the fairness domain."
sense,other,0.8,"Sense is a general term referring to perception or understanding and does not clearly fall within emotion, fairness, or cost."
sustains,other,0.7,Sustains implies supporting or maintaining something but is too context‐dependent to be clearly aligned with any single category.
dissatisfaction,emotion,0.9,"Dissatisfaction reflects a negative emotional state, making it a clear fit for the emotion category."
increases,other,0.8,"Increases is a general term denoting amplification or growth without clear ties to emotion, fairness, or cost."
unjust,fairness,1.0,"The term 'unjust' explicitly appears in the fairness seed list, directly associating it with fairness and justice."
fades,other,0.7,"Fades denotes a diminishing or lessening quality and is too general to be clearly classified under emotion, fairness, or cost."
increased,other,0.8,"Much like 'increases', 'increased' signals amplification or growth and is not specific to any of the target categories."
rationale,other,0.85,"Rationale relates to reasoning and explanation rather than an emotional, fairness, or cost concept."
uphold,fairness,0.9,"To uphold often means to support or maintain principles of justice and fairness, linking it with the fairness category."
exploitative,fairness,0.9,"Exploitative describes behavior that takes unfair advantage of others, making it a strong match for the fairness category."
releases,emotion,0.75,"Releases can invoke the notion of letting go emotionally, reminiscent of cathartic emotional release."
trait,other,0.8,"Trait is a general term describing a characteristic and does not inherently fit within emotion, fairness, or cost."
dollars,cost,1.0,"Dollars directly reference monetary value, placing the word squarely in the cost category."
well,other,0.8,"'Well' is a multifunctional term often used as an adverb or interjection and does not convey emotion, fairness, or cost on its own."
drives,other,0.7,Drives is a generic verb that can mean 'motivates' but lacks a clear association with any of the three categories without more context.
confronting,other,0.8,"Confronting suggests facing or challenging something; however, its meaning is too context‐dependent to be tied directly to any specific category."
fuel,cost,0.8,"Fuel is a resource, similar to energy or materials, and is commonly discussed in cost/resource contexts."
harmony,emotion,0.8,"While 'harmony' can also imply balance (a fairness concept), it more typically denotes a pleasant, peaceful emotional state."
isn,other,0.95,"Appearing to be an informal contraction (likely of 'isn't'), it functions as a grammatical element rather than conveying a semantic concept."
supports,other,0.8,"Supports is a general verb meaning 'to back' or 'prop up' without an inherent link to emotion, fairness, or cost."
disapproval,emotion,0.8,"Disapproval expresses a negative emotional reaction, aligning it with the emotion category."
stays,other,0.8,Stays is a general term indicating persistence or remaining and does not specifically relate to any of the three categories.
shows,other,0.8,"Shows is an unspecific verb with a broad meaning, making it unsuitable for classification under emotion, fairness, or cost."
extremely,other,0.9,Extremely is an intensifier that does not have inherent semantic ties to any of the three specified categories.
sustained,other,0.8,"Sustained describes a continuous state but lacks a direct association with emotional, fairness, or cost themes."
expected,other,0.8,"Expected denotes anticipation or predictability, which does not clearly match the domains of emotion, fairness, or cost."
vindication,fairness,0.9,"Vindication involves being proven right or justified, a concept that falls within the realm of fairness and moral judgment."
